
2024/10/16 (17:52:23) | ===> btop++ v.1.4.0
2024/10/16 (17:52:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (17:53:59) | ===> btop++ v.1.4.0
2024/10/16 (17:53:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (22:27:22) | ===> btop++ v.1.4.0
2024/10/16 (22:27:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:06:56) | ===> btop++ v.1.4.0
2024/10/16 (23:06:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:53:49) | ===> btop++ v.1.4.0
2024/10/16 (23:53:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (19:15:03) | ===> btop++ v.1.4.0
2024/10/17 (19:15:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (21:51:38) | ===> btop++ v.1.4.0
2024/10/17 (21:51:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (21:52:14) | ===> btop++ v.1.4.0
2024/10/17 (21:52:14) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/17 (21:52:35) | INFO: Logger set to INFO
2024/10/17 (21:52:37) | INFO: Logger set to DEBUG

2024/10/17 (21:55:30) | ===> btop++ v.1.4.0
2024/10/17 (21:55:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:28:30) | ===> btop++ v.1.4.0
2024/10/17 (22:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:22:56) | ===> btop++ v.1.4.0
2024/11/08 (21:22:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (14:34:31) | ===> btop++ v.1.4.0
2024/12/05 (14:34:31) | WARNING: Intel GPU: Failed to initialize PMU
